uni,url,country,code,
EPF School of Engineering,https://drive.google.com/uc?id=1d3zd4aepFdKyi4DQ8KB9MUb3dC_5wrK3,France,fr
ESADE Business School,https://drive.google.com/uc?id=10aLNfP-6EzIkPA7K4tRUr-gFCpBGQFYL,Spain,es
Ecole de Management Leonard De Vinci,,France,fr
Edith Cowan University,https://drive.google.com/uc?id=10aLNfP-6EzIkPA7K4tRUr-gFCpBGQFYL,Australia,au
Elon University,https://drive.google.com/uc?id=1-TL7hU8NFP2FivyU_zpyGgZaXDjgSPgR,United States,us
Emlyon Business School,,France,fr
Engineering College of Copenhagen,https://drive.google.com/uc?id=1-TL7hU8NFP2FivyU_zpyGgZaXDjgSPgR,Denmark,dk
Enhancing Science Courses by Integrating Python,https://drive.google.com/uc?id=1X8QVwlJUtYBL8tzwc8jhRtbwHZEdkBBV,France,fr
Erasmus University Rotterdam,https://drive.google.com/uc?id=1lgZi0h4qJLoMwvIzzEarBkmTVCbTXM4z,Netherlands,nl
European University of Madrid,https://drive.google.com/uc?id=1PQDyAzC8TPS6XeXuntL5i8S2jSrQr6CI,Spain,es
FH Campus Wien,https://drive.google.com/uc?id=1aaIDs6I3Cqa-q5s5oouxmwvlTIZPKmmJ,Austria,at
FH Kufstein,https://drive.google.com/uc?id=1QCkLz2N-tvmkCU6_L-vwFEIXONgyJxux,Austria,at
FHWien of WKW,https://drive.google.com/uc?id=1QCkLz2N-tvmkCU6_L-vwFEIXONgyJxux,Austria,at
Fachhochschule Worms University of Applied Sciences,https://drive.google.com/uc?id=1Z3G2c9LwGT2IYUWF5HPj8NI2-HqdWuLQ,Germany,de
"Faculty of Economics and Business, University of Zagreb",https://drive.google.com/uc?id=1Z3G2c9LwGT2IYUWF5HPj8NI2-HqdWuLQ,Croatia,hr
Fairleigh Dickinson University,https://drive.google.com/uc?id=1DSuP_noY_10vZ6HyXXS3dJVoN-kBkTss,United States,us
Fairleigh Dickinson University (Vancouver Campus),https://drive.google.com/uc?id=1gOt6xsVtn47HaAVNCSs3gKaxzBy7506S,Canada,ca
Florida Gulf Coast University,https://drive.google.com/uc?id=1qbRy6hMOz_fNm8VYc4jgvWEeN_R7KZqD,United States,us
Florida International University,,United States,us
Florida State University,https://drive.google.com/uc?id=17ptA84AxXevTptrPS0J2v91PRajqMXqM,United States,us
Fontys University of Applied Sciences,https://drive.google.com/uc?id=10tfsoFtyYGxAynTzmd8E_KUoXX0sCPDs,Netherlands,nl
Fontys University of Applied Sciences (Eindhoven),https://drive.google.com/uc?id=1XOzbmTYtoWNQnbucDq-Srd-dK7nlsYfo,Netherlands,nl
Fontys University of Applied Sciences (Tilburg),https://drive.google.com/uc?id=1niHCFdu7po3o1YYzwoS2EQRebhOs86yS,Netherlands,nl
Fontys University of Applied Sciences (Venlo),https://drive.google.com/uc?id=1niHCFdu7po3o1YYzwoS2EQRebhOs86yS,Netherlands,nl
Fontys university of applied science,https://drive.google.com/uc?id=10tfsoFtyYGxAynTzmd8E_KUoXX0sCPDs,Netherlands,nl
Frankfurt School of Finance & Management,https://drive.google.com/uc?id=1tlLEFvZo1P9FtKmJewwZm2mIsLJ1uBIt,Germany,de
Frankfurt University of Applied Sciences,https://drive.google.com/uc?id=1tlLEFvZo1P9FtKmJewwZm2mIsLJ1uBIt,Germany,de
Frankfurt school of finance & management,https://drive.google.com/uc?id=1tlLEFvZo1P9FtKmJewwZm2mIsLJ1uBIt,Germany,de
Fudan University,https://drive.google.com/uc?id=1qG6zlvl-28lbIzCh0CFlDbhpad1JaSl4,China,cn
Fulda University of Applied Sciences,https://drive.google.com/uc?id=1NVBk0ogDoWQM4gGGnACGvFbpd74a1u4O,Germany,de
Furtwangen University,https://drive.google.com/uc?id=1M-vg7dtcf3Q60yvYxc3jHM61ZFdJvwF,Germany,de
George Washington University,https://drive.google.com/uc?id=16O1Ttmn31WimyyTB93S2mDTmF8pRWouI,United States,us
Grenoble Alpes University,https://drive.google.com/uc?id=1qSA425RlnFZlJ0rsIeF-tFsTUl2RBW1p,France,fr
HEC Montreal,https://drive.google.com/uc?id=1qSA425RlnFZlJ0rsIeF-tFsTUl2RBW1p,Canada,ca
HU University of Applied Sciences Utrecht,https://drive.google.com/uc?id=1_ImURQ_6aJ7pworsJsUp0Xrnfl7hslhT,Netherlands,nl
Haaga-Helia University of Applied Sciences,https://drive.google.com/uc?id=13EXeA3zP_Es6ZYPAaWi2ED1yQPpoCMPD,Finland,fi
HafenCity University Hamburg,https://drive.google.com/uc?id=1XgmBVEplqDt3U-g64ubM9l3wWNfFnfq4,Germany,de
Hague University of Applied Sciences,https://drive.google.com/uc?id=1XgmBVEplqDt3U-g64ubM9l3wWNfFnfq4,Netherlands,nl
Halmstad University,https://drive.google.com/uc?id=1pMWv_eZ0DrkjWtqTo_9h8LzKBKv695OX,Sweden,se
